NAME NODE;CPU (cores);MEMORY (bytes);ACTIVE PODS;TASK;PARAMETER;EXECUTION START TIME (seconds)
cs-modeling1;313m;1029Mi;2;3;1;13535
cs-modeling1;1707m;1078Mi;1;3;1;13601
cs-modeling1;1718m;1079Mi;1;3;1;13666
cs-modeling1;1696m;1051Mi;1;2;3;13730
cs-modeling1;1830m;1099Mi;2;3;5;13796
cs-modeling1;262m;1025Mi;1;3;3;13857
cs-modeling1;930m;1022Mi;1;1;2;13922
cs-modeling1;2000m;1053Mi;2;1;3;13989
cs-modeling1;2007m;1072Mi;2;2;5;14056
cs-modeling1;1992m;1067Mi;3;2;3;14117
cs-modeling1;1304m;1029Mi;1;1;3;14184
cs-modeling1;1922m;1052Mi;2;3;1;14249
cs-modeling1;1969m;1077Mi;2;2;5;14317
cs-modeling1;1982m;1113Mi;3;3;1;14384
cs-modeling1;974m;1047Mi;1;2;3;14445
cs-modeling1;1086m;1029Mi;1;3;2;14510
cs-modeling1;1451m;1061Mi;1;1;5;14575
cs-modeling1;1705m;1051Mi;2;2;5;14642
cs-modeling1;2000m;1074Mi;3;1;2;14708
cs-modeling1;1590m;1047Mi;2;3;4;14778
cs-modeling1;1999m;1238Mi;2;3;3;14845
cs-modeling1;1998m;1562Mi;3;1;5;14912
cs-modeling1;1989m;1896Mi;4;2;3;14978
cs-modeling1;1999m;1067Mi;2;1;3;15040
cs-modeling1;1975m;1074Mi;3;1;5;15106
cs-modeling1;1987m;1076Mi;4;1;4;15172
cs-modeling1;1972m;1095Mi;4;2;2;15240
cs-modeling1;1985m;1116Mi;5;1;1;15307
cs-modeling1;1985m;1076Mi;3;2;2;15379
cs-modeling1;1987m;1097Mi;4;1;3;15446
cs-modeling1;2009m;1124Mi;5;1;1;15512
cs-modeling1;2000m;1156Mi;5;2;1;15608
cs-modeling1;961m;1034Mi;1;1;4;15677
cs-modeling1;1882m;1045Mi;2;1;1;15743
cs-modeling1;1995m;1053Mi;3;1;2;15809
cs-modeling1;2000m;1076Mi;3;2;4;15881
cs-modeling1;265m;1018Mi;1;2;1;15943
cs-modeling1;959m;1028Mi;1;1;1;16008
cs-modeling1;1743m;1027Mi;1;1;4;16073
cs-modeling1;1780m;1044Mi;2;3;4;16139
cs-modeling1;2013m;1284Mi;3;1;3;16207
cs-modeling1;880m;1019Mi;1;1;5;16274
cs-modeling1;1839m;1036Mi;2;3;2;16341
cs-modeling1;1990m;1138Mi;3;3;5;16408
cs-modeling1;1982m;1426Mi;3;2;4;16477
cs-modeling1;1996m;1839Mi;4;3;1;16538
cs-modeling1;;;1;1;4;16606
cs-modeling1;1980m;1028Mi;2;1;5;16672
cs-modeling1;1965m;1060Mi;3;2;5;16739
cs-modeling1;2000m;1080Mi;4;1;1;16806
cs-modeling1;1983m;1067Mi;3;1;4;16876
cs-modeling1;1989m;1083Mi;4;2;5;16943
cs-modeling1;1985m;1097Mi;4;1;1;17012
cs-modeling1;1967m;1131Mi;5;3;5;17077
cs-modeling1;1996m;1675Mi;4;3;5;17140
cs-modeling1;2001m;2067Mi;4;3;5;17207
cs-modeling1;1992m;2455Mi;5;2;1;17275
cs-modeling1;1991m;2697Mi;5;3;5;17410
cs-modeling1;1994m;3203Mi;4;3;4;17481
cs-modeling1;1983m;2852Mi;4;2;1;17550
